"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ADES","Advanced Emissions Solutions, Inc.","11.39","226839037.09","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ades",
"ASIX","AdvanSix Inc.","32.32","963228693.76","n/a","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/asix",
"AEGN","Aegion Corp","17.95","580036120.5","n/a","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/aegn",
"AMTX","Aemetis, Inc","1","20345437","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amtx",
"AEM","Agnico Eagle Mines Limited","43.27","10151417197.2","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aem",
"APD","Air Products and Chemicals, Inc.","165.89","36434614957.19","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/apd",
"AKS","AK Steel Holding Corporation","2.94","927675149.1","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/aks",
"AGI","Alamos Gold Inc.","4.44","1737150901.32","n/a","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/agi",
"AIN","Albany International Corporation","69.52","2238544000","n/a","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","81.3","8634538450.5","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/alb",
"AA","Alcoa Corporation","28.6","5284429121.4","n/a","2016","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/aa",
"AXU","Alexco Resource Corp","1.15","124198737.3","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/axu",
"ALO","Alio Gold Inc.","0.8396","71120117.2628","n/a","2011","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/alo",
"ATI","Allegheny Technologies Incorporated","27.56","3463861953.76","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/ati",
"AAU","Almaden Minerals, Ltd.","0.7522","83975325.925","n/a","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aau",
"ACH","Aluminum Corporation of China Limited","9.41","5609789651.89","n/a","2001","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/ach",
"AMRK","A-Mark Precious Metals, Inc.","12.95","91057277.5","n/a","n/a","Basic Industries","Other Specialty Stores","https://www.nasdaq.com/symbol/amrk",
"AMRC","Ameresco, Inc.","15.06","692407068.9","n/a","2010","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/amrc",
"AVD","American Vanguard Corporation","17.75","538180177.5","n/a","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/avd",
"AMWD","American Woodmark Corporation","69.27","1195856014.11","n/a","1986","Basic Industries","Forest Products","https://www.nasdaq.com/symbol/amwd",
"USAS","Americas Silver Corporation","1.75","76745609.5","n/a","2017","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/usas",
"AMRS","Amyris, Inc.","3.19","234645199.91","n/a","2010","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amrs",
"AU","AngloGold Ashanti Limited","14.3","5886041775.9","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/au",
"AQMS","Aqua Metals, Inc.","2.49","110345298.69","n/a","2015","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/aqms",
"RKDA","Arcadia Biosciences, Inc.","3.55","16950962.45","n/a","2015","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/rkda",
"MT","ArcelorMittal","23.86","24177424444.78","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/mt",
"AGX","Argan, Inc.","42","653970198","n/a","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/agx",
"AKG","Asanko Gold Inc.","0.7861","177505007.0654","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/akg",
"APWC","Asia Pacific Wire & Cable Corporation Limited","2.231","30831681.539","n/a","n/a","Basic Industries","Telecommunications Equipment","https://www.nasdaq.com/symbol/apwc",
"ATIS","Attis Industries Inc.","0.31","6915606.79","n/a","n/a","Basic Industries","Miscellaneous","https://www.nasdaq.com/symbol/atis",
"ATISW","Attis Industries Inc.","0.0824","0","n/a","n/a","Basic Industries","Miscellaneous","https://www.nasdaq.com/symbol/atisw",
"AUG","Auryn Resources Inc.","1.02","92195572.32","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aug",
"ASM","Avino Silver","0.6101","38642372.8669","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/asm",
"AXTA","Axalta Coating Systems Ltd.","25.84","6168399579.36","n/a","2014","Basic Industries","Paints/Coatings","https://www.nasdaq.com/symbol/axta",
"BTG","B2Gold Corp","3.14","3107372762.4","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/btg",
"BCPC","Balchem Corporation","83.85","2703987672.75","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/bcpc",
"GOLD","Barrick Gold Corporation","13.25","23204227462.5","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/gold",
"BDC","Belden Inc","53.7","2164400409.6","n/a","n/a","Basic Industries","Telecommunications Equipment","https://www.nasdaq.com/symbol/bdc",
"BHP","BHP Group Limited","51.09","129200633849.43","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/bhp",
"BAK","Braskem S.A.","28.61","11382970292.4","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/bak",
"BBU","Brookfield Business Partners L.P.","33.1","2190749913.8","n/a","2016","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/bbu",
"BVN","Buenaventura Mining Company Inc.","15.7","3987593811.9","n/a","1996","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/bvn",
"CBT","Cabot Corporation","48.04","2859345988.32","n/a","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cbt",
"CMCL","Caledonia Mining Corporation Plc","6.08","64467170.24","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/cmcl",
"CLXT","Calyxt, Inc.","13.25","431583756.75","n/a","2017","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/clxt",
"CCJ","Cameco Corporation","12.11","4793049984.52","n/a","1996","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/ccj",
"CSL","Carlisle Companies Incorporated","108.78","6477252885.6","n/a","n/a","Basic Industries","Specialty Chemicals","https://www.nasdaq.com/symbol/csl",
"CRS","Carpenter Technology Corporation","47.76","2262371666.16","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/crs",
"CVCO","Cavco Industries, Inc.","162","1473901758","n/a","n/a","Basic Industries","Homebuilding","https://www.nasdaq.com/symbol/cvco",
"CE","Celanese Corporation","98.71","13203249514.83","n/a","2005","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ce",
"LEU","Centrus Energy Corp.","2.89","26121990.39","n/a","2014","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/leu",
"CENX","Century Aluminum Company","9","788689773","n/a","1996","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/cenx",
"CF","CF Industries Holdings, Inc.","43.5","10039428553.5","n/a","2005","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/cf",
"CHRA","Charah Solutions, Inc.","7.3","212305812.4","n/a","2018","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/chra",
"CC","Chemours Company (The)","36.96","6323294171.04","n/a","2015","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cc",
"CADC","China Advanced Construction Materials Group, Inc.","3.56","19881268.56","n/a","n/a","Basic Industries","Engineering & Construction","https://www.nasdaq.com/symbol/cadc",
"CGA","China Green Agriculture, Inc.","0.62","24116105.9","n/a","n/a","Basic Industries","Agricultural Chemicals","https://www.nasdaq.com/symbol/cga",
"CHNR","China Natural Resources, Inc.","1.7624","43902998.3584","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/chnr",
"CHD","Church & Dwight Company, Inc.","64.67","15923869614.38","n/a","n/a","Basic Industries","Package Goods/Cosmetics","https://www.nasdaq.com/symbol/chd",
"CINR","Ciner Resources LP","24.12","476592024.6","n/a","2013","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/cinr",
"CLH","Clean Harbors, Inc.","58.85","3295922851.1","n/a","n/a","Basic Industries","Environmental Services","https://www.nasdaq.com/symbol/clh",
"CLW","Clearwater Paper Corporation","33.98","559348823.62","n/a","n/a","Basic Industries","Paper","https://www.nasdaq.com/symbol/clw",
"CLF","Cleveland-Cliffs Inc.","10.53","3138134183.73","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/clf",
"CDXS","Codexis, Inc.","19.37","1046291818.26","n/a","2010","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/cdxs",
"CDE","Coeur Mining, Inc.","5.06","1028561941.66","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/cde",
"CMC","Commercial Metals Company","17.49","2057509835.37","n/a","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/cmc",
"CMP","Compass Minerals International, Inc.","52.11","1764008491.41","n/a","2003","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/cmp",
"LODE","Comstock Mining, Inc.","0.177","12540948.963","n/a","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/lode",
"CSTM","Constellium N.V.","8.65","1165097382.35","n/a","2013","Basic Industries","Metal Fabrications","https://www.nasdaq.com/symbol/cstm",
"ROAD","Construction Partners, Inc.","11.7","601551042.3","n/a","2018","Basic Industries","Military/Government/Technical","https://www.nasdaq.com/symbol/road",
"GLW","Corning Incorporated","33.09","26074920000","n/a","n/a","Basic Industries","Telecommunications Equipment","https://www.nasdaq.com/symbol/glw",
"CVA","Covanta Holding Corporation","16.16","2117843968.16","n/a","n/a","Basic Industries","Electric Utilities: Central","https://www.nasdaq.com/symbol/cva",
"CVIA","Covia Holdings Corporation","4.83","633630611.46","n/a","2018","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","https://www.nasdaq.com/symbol/cvia",
"CRWS","Crown Crafts, Inc.","5.89","59474616.62","n/a","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/crws",
